"aviLabel","taxon","aviId","avidb_link"
"Dendrocygna eytoni","http://purl.obolibrary.org/obo/NCBITaxon_8875","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-A467AD00","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-A467AD00"
"Dendrocygna viduata","http://purl.obolibrary.org/obo/NCBITaxon_8876","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-A534AFEA","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-A534AFEA"
"Dendrocygna autumnalis","http://purl.obolibrary.org/obo/NCBITaxon_8873","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-C01A22D6","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-C01A22D6"
"Dendrocygna arborea","http://purl.obolibrary.org/obo/NCBITaxon_8871","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-DC65FCE7","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-DC65FCE7"
"Dendrocygna bicolor","http://purl.obolibrary.org/obo/NCBITaxon_8874","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-9A60617E","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-9A60617E"
"Dendrocygna arcuata","http://purl.obolibrary.org/obo/NCBITaxon_8872","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-69D272A6","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-69D272A6"
"Dendrocygna javanica","http://purl.obolibrary.org/obo/NCBITaxon_60182","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-BD683E6E","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-BD683E6E"
"Biziura lobata","http://purl.obolibrary.org/obo/NCBITaxon_45648","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-623B61C4","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-623B61C4"
"Nettapus pulchellus","http://purl.obolibrary.org/obo/NCBITaxon_45642","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-D040868F","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D040868F"
"Nettapus coromandelianus","http://purl.obolibrary.org/obo/NCBITaxon_45641","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-90AAE188","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-90AAE188"
"Nettapus auritus","http://purl.obolibrary.org/obo/NCBITaxon_658922","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-EC7C1618","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-EC7C1618"
"Stictonetta naevosa","http://purl.obolibrary.org/obo/NCBITaxon_45637","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-E93960AB","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-E93960AB"
"Heteronetta atricapilla","http://purl.obolibrary.org/obo/NCBITaxon_555264","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-5ACD60F4","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-5ACD60F4"
"Nomonyx dominicus","http://purl.obolibrary.org/obo/NCBITaxon_555276","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-98C6F885","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-98C6F885"
"Oxyura leucocephala","http://purl.obolibrary.org/obo/NCBITaxon_90703","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-2E40EF2C","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-2E40EF2C"
"Oxyura australis","http://purl.obolibrary.org/obo/NCBITaxon_45649","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-672BA2DA","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-672BA2DA"
"Oxyura maccoa","http://purl.obolibrary.org/obo/NCBITaxon_90704","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-1C2F4E80","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-1C2F4E80"
"Oxyura vittata","http://purl.obolibrary.org/obo/NCBITaxon_8885","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-079A8245","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-079A8245"
"Oxyura jamaicensis","http://purl.obolibrary.org/obo/NCBITaxon_8884","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-DF1E2A1D","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-DF1E2A1D"
"Plectropterus gambensis","http://purl.obolibrary.org/obo/NCBITaxon_658924","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-EB01B24C","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-EB01B24C"
"Malacorhynchus membranaceus","http://purl.obolibrary.org/obo/NCBITaxon_45646","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-FE03DD1E","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-FE03DD1E"
"Coscoroba coscoroba","http://purl.obolibrary.org/obo/NCBITaxon_8863","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-A3A0E8FE","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-A3A0E8FE"
"Cereopsis novaehollandiae","http://purl.obolibrary.org/obo/NCBITaxon_8858","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-CA875F31","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-CA875F31"
