"taxonLabel","uberonLabel","upp_label","uoo_label"
"Aves","feathered ear tuft","overlaps","supramolecular fiber"
"Aves","feathered ear tuft","overlaps","polymeric cytoskeletal fiber"
"Aves","feathered ear tuft","overlaps","membraneless organelle"
"Aves","feathered ear tuft","overlaps","intermediate filament cytoskeleton"
"Aves","feathered ear tuft","overlaps","cutaneous appendage"
"Aves","feathered ear tuft","has member","cutaneous appendage"
"Aves","feathered ear tuft","overlaps","head"
"Aves","feathered ear tuft","overlaps","organ"
"Aves","feathered ear tuft","overlaps","intracellular organelle"
"Aves","feathered ear tuft","overlaps","keratin filament"
"Aves","feathered ear tuft","overlaps","supramolecular polymer"
"Aves","feathered ear tuft","overlaps","anatomical system"
"Aves","feathered ear tuft","overlaps","monovalent inorganic cation"
"Aves","feathered ear tuft","overlaps","craniocervical region"
"Aves","feathered ear tuft","overlaps","integumentary adnexa"
"Aves","feathered ear tuft","overlaps","organism subdivision"
"Aves","feathered ear tuft","overlaps","molecular entity"
"Aves","feathered ear tuft","overlaps","atom"
"Aves","feathered ear tuft","overlaps","organism or virus or viroid"
"Aves","feathered ear tuft","overlaps","organismal entity"
"Aves","feathered ear tuft","overlaps","multicellular anatomical structure"
"Aves","feathered ear tuft","overlaps","organ part"
"Aves","feathered ear tuft","overlaps","anterior region of body"
"Aves","feathered ear tuft","overlaps","anatomical projection"
"Aves","feathered ear tuft","overlaps","subdivision of organism along main body axis"
"Aves","feathered ear tuft","overlaps","integumentary projection"
"Aves","feathered ear tuft","overlaps","morphological feature"
"Aves","feathered ear tuft","overlaps","main body axis"
"Aves","feathered ear tuft","overlaps","body proper"
"Aves","feathered ear tuft","overlaps","hydrogen atom"
"Aves","feathered ear tuft","overlaps","main group molecular entity"
"Aves","feathered ear tuft","overlaps","lepton"
"Aves","feathered ear tuft","overlaps","monoatomic monocation"
"Aves","feathered ear tuft","overlaps","monoatomic hydrogen"
"Aves","feathered ear tuft","overlaps","elemental hydrogen"
"Aves","feathered ear tuft","overlaps","nonmetal atom"
"Aves","feathered ear tuft","overlaps","monoatomic entity"
"Aves","feathered ear tuft","overlaps","nucleon"
"Aves","feathered ear tuft","overlaps","elemental molecular entity"
"Aves","feathered ear tuft","overlaps","main group element atom"
"Aves","feathered ear tuft","overlaps","s-block element atom"
"Aves","feathered ear tuft","overlaps","fundamental particle"
"Aves","feathered ear tuft","overlaps","s-block molecular entity"
"Aves","feathered ear tuft","overlaps","baryon"
"Aves","feathered ear tuft","overlaps","fermion"
"Aves","feathered ear tuft","overlaps","composite particle"
"Aves","feathered ear tuft","overlaps","hadron"
"Aves","feathered ear tuft","overlaps","nuclear particle"
"Aves","feathered ear tuft","mereotopologically related to","independent continuant"
"Aves","feathered ear tuft","mereotopologically related to","cell"
"Aves","feathered ear tuft","mereotopologically related to","anatomical structure"
"Aves","feathered ear tuft","mereotopologically related to","continuant"
"Aves","feathered ear tuft","mereotopologically related to","material entity"
"Aves","feathered ear tuft","mereotopologically related to","anatomical entity"
"Aves","feathered ear tuft","mereotopologically related to","connected anatomical structure"
"Aves","feathered ear tuft","mereotopologically related to","material anatomical entity"
"Aves","feathered ear tuft","mereotopologically related to","organelle"
"Aves","feathered ear tuft","mereotopologically related to","ectoderm-derived structure"
"Aves","feathered ear tuft","mereotopologically related to","electron"
"Aves","feathered ear tuft","mereotopologically related to","proton"
"Aves","feathered ear tuft","mereotopologically related to","atomic nucleus"
"Aves","feathered ear tuft","mereotopologically related to","subatomic particle"
"Aves","feathered ear tuft","mereotopologically related to","atom"
"Aves","feathered ear tuft","mereotopologically related to","molecule"
"Aves","telencephalic song nucleus HVC","overlaps","independent continuant"
"Aves","telencephalic song nucleus HVC","overlaps","cell"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical structure"
"Aves","telencephalic song nucleus HVC","overlaps","brain"
"Aves","telencephalic song nucleus HVC","overlaps","continuant"
"Aves","telencephalic song nucleus HVC","overlaps","material entity"
"Aves","telencephalic song nucleus HVC","overlaps","anatomical entity"
